,_id,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked,your_name
127,6161b980425e092516eb7048,7Lr4XaxGpkAwa37IVgg22k,0.467,0.701,4,-4.997,1,0.0302,0.191,0.0,0.0769,0.28,132.041,214219,3,0,honeyd3wy
128,6161c792f4a68f52a28e00a3,0q6boCcLaWYPIy2vOsksFg,0.782,0.808,0,-3.139,1,0.0362,0.0159,4.33e-05,0.331,0.42,120.021,197616,4,1,honeyd3wy
129,6161b980425e092516eb7051,7AmQ1Qpbp3Bb3CDLnMbWWq,0.677,0.446,10,-8.096,1,0.025,0.315,0.0,0.212,0.44,96.947,185640,4,0,honeyd3wy
130,6161c792f4a68f52a28e008e,2ppAfCQmvlN9ym0P9563dX,0.721,0.875,6,-1.166,1,0.0783,0.241,0.000105,0.381,0.692,141.994,215091,4,1,honeyd3wy
131,6161c792f4a68f52a28e00a6,5gklZRmeV20l6cRdHBZBwW,0.708,0.852,2,-4.398,1,0.0851,0.0525,0.00016,0.399,0.396,129.946,212991,4,1,honeyd3wy
132,6161b980425e092516eb702a,2rxQMGVafnNaRaXlRMWPde,0.551,0.402,11,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313,193200,4,0,honeyd3wy
133,6161b980425e092516eb706d,5TWAIHYaOnYg4txfmCgon5,0.573,0.747,0,-6.46,1,0.0319,0.519,1.13e-06,0.0867,0.645,79.952,160707,4,0,honeyd3wy
134,6161b3e6f7207f813e54c79c,0gEnVDMhKKjF1qXuvBwq91,0.61,0.905,9,-3.686,0,0.0369,0.0142,0.0,0.0592,0.521,122.012,199134,4,1,honeyd3wy
135,6161c792f4a68f52a28e0088,6qcStcFkvl3XmlO5dNVeTJ,0.672,0.968,1,-2.636,0,0.131,0.0243,0.0,0.0586,0.473,129.971,195753,4,1,honeyd3wy
136,6161b980425e092516eb7044,68JS5SFTnW5Yv9Vzw81Jf0,0.616,0.474,10,-9.608,1,0.0266,0.192,0.00762,0.0989,0.493,142.689,210133,4,0,honeyd3wy
137,6161b980425e092516eb7066,0t0ODvxpVPS2dcGGTgsnq9,0.392,0.785,5,-5.815,0,0.0646,0.128,0.0,0.0814,0.585,79.45,194766,4,0,honeyd3wy
138,6161b980425e092516eb7039,3y4LxiYMgDl4RethdzpmNe,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,250547,4,0,honeyd3wy
